group_id,check,camera_id,date,time_first_photo_in_group,group_size,num_image_per_group
410,September_Check,K4-1,2014-05-19,0.8255555555555556,1,15
411,September_Check,K4-1,2014-05-20,0.25322916666666667,1,11
412,September_Check,K4-1,2014-05-20,0.34336805555555555,7,68
413,September_Check,K4-1,2014-05-20,0.35984953703703704,1,10
414,September_Check,K4-1,2014-05-21,0.8213773148148148,1,15
415,September_Check,K4-1,2014-05-24,0.8316435185185185,1,10
416,September_Check,K4-1,2014-05-25,0.21019675925925926,1,10
417,September_Check,K4-1,2014-05-26,0.8411111111111111,1,5
418,September_Check,K4-1,2014-05-29,0.8924074074074074,1,35
419,September_Check,K4-1,2014-05-30,0.3075347222222222,3,15
420,September_Check,K4-1,2014-05-30,0.8023958333333333,3,15
421,September_Check,K4-1,2014-05-30,0.8314236111111111,1,5
422,September_Check,K4-1,2014-05-30,0.8478819444444444,1,15
423,September_Check,K4-1,2014-05-31,0.09987268518518519,1,10
424,September_Check,K4-1,2014-05-31,0.226875,1,15
425,September_Check,K4-1,2014-05-31,0.8433796296296296,2,15
426,September_Check,K4-1,2014-06-03,0.8264930555555555,1,4
427,September_Check,K4-1,2014-06-04,0.4729050925925926,1,6
428,September_Check,K4-1,2014-06-04,0.9579513888888889,1,45
429,September_Check,K4-1,2014-06-05,0.08572916666666666,1,20
430,September_Check,K4-1,2014-06-05,0.23561342592592593,1,10
431,September_Check,K4-1,2014-06-05,0.3642592592592593,1,20
432,September_Check,K4-1,2014-06-05,0.39858796296296295,1,5
433,September_Check,K4-1,2014-06-05,0.42376157407407405,1,5
434,September_Check,K4-1,2014-06-05,0.5864236111111111,1,20
435,September_Check,K4-1,2014-06-06,0.22751157407407407,1,10
