group_id,check,camera_id,date,time,count_species,time_first_photo_in_group,group_size,num_image_per_group,n_group_per_day
39,April_Check,C2-2,2013-11-05,04:12:13,1,0.17501157407407408,1,10,3
39,April_Check,C2-2,2013-11-05,04:12:14,1,0.17501157407407408,1,10,3
40,April_Check,C2-2,2013-11-05,04:18:01,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:02,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:02,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:04,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:05,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:06,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:07,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:07,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:08,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:26,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:26,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:27,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:28,1,0.17917824074074074,1,14,3
40,April_Check,C2-2,2013-11-05,04:18:28,1,0.17917824074074074,1,14,3
41,April_Check,C2-2,2013-11-05,23:30:22,1,0.9794212962962963,1,13,3
41,April_Check,C2-2,2013-11-05,23:30:23,1,0.9794212962962963,1,13,3
41,April_Check,C2-2,2013-11-05,23:30:24,1,0.9794212962962963,1,13,3
41,April_Check,C2-2,2013-11-05,23:30:24,1,0.9794212962962963,1,13,3
41,April_Check,C2-2,2013-11-05,23:30:25,1,0.9794212962962963,1,13,3
41,April_Check,C2-2,2013-11-05,23:30:26,1,0.9794212962962963,1,13,3
41,April_Check,C2-2,2013-11-05,23:30:27,1,0.9794212962962963,1,13,3
41,April_Check,C2-2,2013-11-05,23:30:27,1,0.9794212962962963,1,13,3
41,April_Check,C2-2,2013-11-05,23:30:28,1,0.9794212962962963,1,13,3
41,April_Check,C2-2,2013-11-05,23:31:18,1,0.9794212962962963,1,13,3
41,April_Check,C2-2,2013-11-05,23:31:19,1,0.9794212962962963,1,13,3
41,April_Check,C2-2,2013-11-05,23:31:20,1,0.9794212962962963,1,13,3
41,April_Check,C2-2,2013-11-05,23:31:20,1,0.9794212962962963,1,13,3
42,April_Check,C2-2,2013-11-09,12:52:27,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:52:28,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:52:28,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:52:29,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:52:30,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:52:34,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:52:35,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:52:36,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:55:46,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:55:58,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:55:59,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:56:00,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:56:01,2,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:56:02,2,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:56:55,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:56:56,2,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:56:57,2,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:56:57,2,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:56:58,2,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:57:00,2,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:57:01,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:57:02,1,0.5364236111111111,2,122,2
42,April_Check,C2-2,2013-11-09,12:57:03,1,0.5364236111111111,2,122,2
